Classes,Precision,Recall ,F1-Score ,Support
Fresh Apple,1,1,1,20
Fresh Banana,1,0.85,0.92,20
Fresh Grape,0.95,1,0.98,20
Fresh Guava,1,1,1,20
Fresh Jujube,0.95,1,0.98,20
Fresh Orange,0.95,0.95,0.95,20
Fresh Pomegranate,1,1,1,20
Fresh Strawberry,1,1,1,20
Rotten Apple,1,0.95,0.97,20
Rotten Banana,0.87,1,0.93,20
Rotten Grape,1,0.95,0.97,20
Rotten Guava,1,1,1,20
Rotten Jujube,0.9,0.95,0.93,20
Rotten Orange,1,0.9,0.95,20
Rotten Pomegranate,0.95,1,0.98,20
Rotten Strawberry,1,1,1,20
Accuracy,0,0,0.97,320
Macro avg,0.97,0.97,0.97,320
Weighted avg,0.97,0.97,0.97,320
