Classes,Precision,Recall ,F1-Score ,Support
Fresh Apple,1,1,1,20
Fresh Banana,1,1,1,20
Fresh Grape,0.95,1,1,20
Fresh Guava,1,1,1,20
Fresh Jujube,1,1,1,20
Fresh Orange,1,1,1,20
Fresh Pomegranate,0.95,1,0.98,20
Fresh Strawberry,1,1,1,20
Rotten Apple,1,1,1,20
Rotten Banana,1,1,1,20
Rotten Grape,1,0.95,0.97,20
Rotten Guava,1,1,1,20
Rotten Jujube,1,1,1,20
Rotten Orange,1,1,1,20
Rotten Pomegranate,1,0.95,0.97,20
Rotten Strawberry,1,1,1,20
Accuracy,0,0,0.99,320
Macro avg,0.99,0.99,0.99,320
Weighted avg,0.99,0.99,0.99,320
