Classes,Precision,Recall ,F1-Score ,Support
Fresh Apple,0.91,1,0.95,20
Fresh Banana,1,0.95,0.97,20
Fresh Grape,1,1,1,20
Fresh Guava,0.95,1,0.98,20
Fresh Jujube,0.95,0.95,0.95,20
Fresh Orange,0.95,0.9,0.92,20
Fresh Pomegranate,0.91,1,0.95,20
Fresh Strawberry,1,1,1,20
Rotten Apple,0.73,0.8,0.76,20
Rotten Banana,0.91,1,0.95,20
Rotten Grape,1,0.95,0.97,20
Rotten Guava,1,0.8,0.89,20
Rotten Jujube,1,0.7,0.82,20
Rotten Orange,0.83,0.95,0.88,20
Rotten Pomegranate,0.84,0.8,0.82,20
Rotten Strawberry,0.95,1,0.98,20
Accuracy,0,0,0.93,320
Macro avg,0.93,0.93,0.93,320
Weighted avg,0.93,0.93,0.93,320
